Position,Gross
TEACHER,"$121,900.14"
TEACHER,"$121,900.14"
TEACHER,"$121,900.14"
TEACHER,"$121,900.14"
TEACHER,"$121,872.64"
TEACHER,"$121,860.64"
TEACHER,"$121,858.00"
TEACHER,"$121,841.64"
TEACHER,"$121,826.17"
TEACHER,"$121,822.64"
TEACHER,"$121,822.64"
TEACHER,"$121,822.64"
TEACHER,"$121,822.64"
TEACHER,"$121,822.64"
TEACHER,"$121,822.64"
TEACHER,"$121,822.64"
TEACHER,"$121,733.68"
TEACHER,"$121,640.64"
MATH SPECIALIST; TEACHER,"$121,635.89"
TEACHER,"$121,588.14"
TEACHER,"$121,587.50"
TEACHER,"$121,553.36"
TEACHER,"$121,550.64"
TEACHER,"$121,512.64"
TEACHER,"$121,499.50"
TEACHER,"$121,497.36"
TEACHER,"$121,487.64"
TEACHER,"$121,487.64"
TEACHER,"$121,436.88"
TEACHER,"$121,433.85"
TEACHER,"$121,357.64"
LIBRARY/MEDIA SPC ES; TEACHER,"$121,349.03"
TEACHER,"$121,335.97"
TEACHER,"$121,319.12"
TEACHER,"$121,318.73"
TEACHER,"$121,303.72"
LIBRARY/MEDIA SPC ES; TEACHER,"$121,257.68"
TEACHER,"$121,247.36"
TEACHER,"$121,223.36"
TEACHER,"$121,209.75"
TEACHER,"$121,202.64"
TEACHER,"$121,183.14"
TEACHER,"$121,177.64"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$121,156.08"
TEACHER,"$121,097.64"
TEACHER,"$121,075.64"
TEACHER,"$121,072.64"
TEACHER,"$121,047.64"
TEACHER,"$121,047.64"
TEACHER,"$121,047.64"
MATH SPECIALIST; TEACHER,"$121,034.68"
TEACHER,"$121,023.92"
TEACHER,"$121,022.64"
TEACHER,"$121,022.64"
TEACHER,"$121,022.64"
TEACHER,"$121,022.64"
TEACHER,"$121,022.64"
TEACHER,"$121,022.64"
TEACHER,"$121,004.00"
EL SPECIALIST; TEACHER,"$120,999.11"
TEACHER,"$120,961.51"
INTERVENTION SPECIALIST; TEACHER,"$120,950.64"
TEACHER,"$120,950.64"
TEACHER,"$120,950.64"
TEACHER,"$120,950.64"
INTERVENTION SPECIALIST; TEACHER,"$120,890.14"
TEACHER,"$120,878.80"
TEACHER,"$120,855.14"
INTERVENTION SPECIALIST; TEACHER,"$120,845.61"
TEACHER,"$120,814.00"
TEACHER,"$120,700.14"
TEACHER,"$120,700.14"
INTERVENTION SPECIALIST; TEACHER,"$120,686.36"
TEACHER,"$120,659.64"
TEACHER,"$120,659.00"
TEACHER,"$120,622.64"
INTERVENTION SPECIALIST,"$120,622.64"
TEACHER,"$120,622.64"
TEACHER,"$120,622.64"
TEACHER MARKETING,"$120,593.83"
TEACHER,"$120,581.50"
TEACHER,"$120,581.50"
TEACHER,"$120,581.50"
TEACHER,"$120,560.64"
TEACHER,"$120,538.18"
EL SPECIALIST; TEACHER,"$120,491.61"
ADMIN; MS & HS ASST PRINCIPAL; TEACHER,"$120,421.56"
TEACHER,"$120,394.00"
TEACHER,"$120,371.68"
TEACHER,"$120,363.50"
TEACHER,"$120,363.00"
TEACHER,"$120,351.36"
TEACHER,"$120,330.18"
TEACHER,"$120,328.11"
TEACHER,"$120,258.00"
TEACHER,"$120,250.64"
LITERACY SPECIALIST; TEACHER,"$120,222.86"
TEACHER,"$120,150.64"
TEACHER,"$120,150.64"
TEACHER,"$120,150.64"
TEACHER,"$120,150.64"
INTERVENTION SPECIALIST; TEACHER,"$120,021.98"
EL SPECIALIST; TEACHER,"$119,881.68"
TEACHER,"$119,859.01"
TEACHER,"$119,828.15"
TEACHER,"$119,828.14"
TEACHER,"$119,828.14"
TEACHER,"$119,826.43"
TEACHER,"$119,805.25"
TEACHER,"$119,804.61"
TEACHER,"$119,781.50"
TEACHER,"$119,779.36"
TEACHER,"$119,750.64"
TEACHER,"$119,717.64"
TEACHER,"$119,704.00"
INTERVENTION SPECIALIST; TEACHER,"$119,686.36"
TEACHER,"$119,617.36"
TEACHER,"$119,580.61"
INTERVENTION SPECIALIST; TEACHER,"$119,566.25"
TEACHER,"$119,462.40"
ADMIN; ES & MS PRINCIPAL,"$119,389.60"
INTERVENTION SPECIALIST,"$119,304.00"
TEACHER,"$119,292.36"
TEACHER,"$119,232.75"
TEACHER,"$119,209.54"
TEACHER,"$119,179.18"
TEACHER,"$119,171.18"
TEACHER,"$119,119.00"
MATH SPECIALIST; TEACHER,"$119,054.14"
TEACHER,"$118,950.93"
TEACHER,"$118,927.36"
TEACHER,"$118,926.68"
INTERVENTION SPECIALIST; TEACHER,"$118,802.62"
TEACHER,"$118,790.85"
